movie_title,kind,number_of_rating,rating_score,classification,release_year,duration,country,genre,director,cast
Cẩm Tâm Tựa Ngọc,Phim bộ,25300,9,T13,2021,45,Trung Quốc đại lục,"Lãng Mạn, Cổ Trang, Hôn Nhân, Tiếng Phổ Thông, Cổ Đại",De-Guang Wen,"Chung Hán Lương, Đàm Tùng Vận"
Sắc Màu Pháo Hoa Nhân Gian,Phim bộ,19000,9.6,T13,2023,23,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Thành Thị, Thanh Xuân, Thương Trường, Tình Yêu Ngọt Ngào",Liang Guo Guan,"Lu Yang Yang,Hanna, Chen Xin Hai, Royi, Zhao Zhen Ting, Ji Hao, Molly"
Anh Ấy Bước Ra Từ Ánh Lửa,Phim bộ,13900,9.6,T13,2023,40,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Thành Thị, Tiếng Phổ Thông, Tiểu Thuyết Chuyển Thể","Tian Yi, YI yong","Hoàng Cảnh Du, Trương Tịnh Nghi, Ngô Cương, Vương Tử Kỳ, Trương Lăng Hách, Đường Hiểu Thiên, Zhang Jin, Lục Tư Vũ, Hu Yi, Li Ming Jun, Chen Kang, Zhang Duo Han"
Gặp Gỡ,Phim bộ,11100,9.3,T13,2018,16,Hàn Quốc,"Lãng Mạn, Thương Trường, Tiếng Hàn","Shin-woo Park, Quan He Can","Song Hye-Kyo, Park Bo Gum, Jang Seungjo, 차화연"
Đối Tác Đáng Ngờ,Phim bộ,35300,9.3,T16,2017,20,Hàn Quốc,"Tội Phạm, Bí Ẩn, Lãng Mạn, Tình Tiết, Phim Hài, Thành Thị",Piao Shan Hao,"Ji Chang Wook, Nam Ji Hyun, Kwon Na-ra"
Như Ý Phương Phi,Phim bộ,115100,9.3,T13,2020,44,Trung Quốc đại lục,"Lãng Mạn, Thanh Xuân, Cổ Trang, Tiếng Phổ Thông, Cổ Đại, Tiểu Thuyết Chuyển Thể","Kin-lung Lam, Tony","Cúc Tịnh Y, Lưu Dịch Sướng, Vương Hữu Thạc, Hứa Giai Kỳ"
Đại Hiệp Hoắc Nguyên Giáp,Phim bộ,9800,9.4,T16,2020,45,Trung Quốc đại lục,"Võ Thuật, Hành Động, Tiếng Phổ Thông","Bo Shan, Fang Liu","Triệu Văn Trác, Mao Lâm Lâm, Thích Tiểu Long, Wang Zhi Yi"
Định Luật 80/20 Của Tình Yêu,Phim bộ,8800,9.6,T13,2022,40,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Thành Thị, Tiếng Phổ Thông",Lin Yan,"Dương Mịch, Hứa Khải, Tang Jing Mei, Wang Zi Xuan, Lý Trạch Phong"
Lưu Ly Mỹ Nhân Sát,Phim bộ,8400,9.5,T13,2020,59,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Cổ Trang, Tiếng Phổ Thông, Cổ Đại","Yin Tao, Mai Guan Zhi","Thành Nghị, Crystal"
Lại Là Em Oh Hae Young,Phim bộ,4800,9.3,T13,2016,18,Hàn Quốc,"Lãng Mạn, Tiếng Hàn",Hyun-Wook Song,"Eric Mun, Hyun-jin Seo"
Em Là Tâm Sự Ngọt Ngào Của Anh,Phim bộ,18400,9.4,T13,2021,24,Trung Quốc đại lục,"Lãng Mạn, Thanh Xuân, Tiếng Phổ Thông",Xie Yi Hang,Xu Nuo Yan
Bẫy Tình Yêu,Phim bộ,10300,9.3,T16,2016,16,Hàn Quốc,"Bí Ẩn, Lãng Mạn, Phim Hài, Tình Bạn, Học Đường, Tiếng Hàn",Lee Yoon Jung,"Piao Hai Zhen, Seo Kang Joon, Sung-Kyung Lee , Piao Min Zhi"
Big Dragon (UNCUT),Phim bộ,23800,9.6,T18,2022,8,Thái Lan,"LGBT, Lãng Mạn, Tình Bạn, Thái Lan",Puwadon Naosopa,"Mos Panuwat Sopadit, Isbanky Mondop Heamtan, Fong Bovorn kongnawdee, JJ Rathasat butwong"
【Thuyết minh】Như Ý Phương Phi,Phim bộ,5700,9.2,T13,2020,40,Trung Quốc đại lục,"Lãng Mạn, Thanh Xuân, Cổ Trang, Tiếng Việt, Cổ Đại, Tiểu Thuyết Chuyển Thể","Kin-lung Lam, Tony","Cúc Tịnh Y, Lưu Dịch Sướng, Vương Hữu Thạc, Hứa Giai Kỳ"
Đại Giang Đại Hà 3: Tuế Nguyệt Như Ca,Phim bộ,40000,9.6,T13,2024,33,Trung Quốc đại lục,"Tình Tiết, Thành Thị, Tiếng Phổ Thông","Kong Sheng, Sun Mo Long","Nick Wang, Yang Shuo, Đổng Tử Kiện, Oraphan Saithong"
Vua bóng đá,Phim bộ,1000,8.9,P,2018,22,Trung Quốc đại lục,"Tình Tiết, Thành Thị, Thanh Xuân",Yi Cheng Guo,Crixus Guo
Chúng Ta Đáng Yêu Như Thế,Phim bộ,17900,9.4,T13,2020,16,Trung Quốc đại lục,"Thanh Xuân, Tiếng Phổ Thông",Cattree,"Li Ming De, Điền Hi Vi, You Hao Ran, Silvery"
TharnType The Series 1: Từ Ghét Tới Yêu,Phim bộ,4700,9.7,T13,2023,13,Thái Lan,"LGBT, Lãng Mạn, Tình Yêu Ngọt Ngào, Thái Lan",Tee Sintanaparadee,"Mew Suppasit Jongcheveevat, Gulf Kanawut Traipipattanapong, Kaownah Kittipat Kaewcharoen, Kokliang Parinya Angsanan, Run Kantheephop Sirorattanaphanit, Tong Thanayut Thakoon-auttaya, Mild Suttinut Uengtrakul, Hiter Natthad Kunakornkiat, Mawin Tanawin Duangnate, Boat Napat Srinakluan"
Cô Ấy Độc Nhất Hữu Nhị,Phim bộ,5000,9.5,T13,2024,24,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Phim Hài, Thành Thị, Thanh Xuân, Tiếng Phổ Thông",songyang,"Trương Vân Long, Ireine Song, Mao Lâm Lâm, Châu Ngạn Thần, Zhou Da Wei, Alika"
【Thuyết minh】Chung Cực Bút Ký,Phim bộ,14000,9.8,T16,2020,36,Trung Quốc đại lục,"Phiêu Lưu, Tình Tiết, Viễn Tưởng, Thanh Xuân, Tiếng Việt, Tiểu Thuyết Chuyển Thể","Zou Xi, Ma Xiao Gang, Lizhou Wei,David Wai","Tăng Thuấn Hy, Tiêu Vũ Lương, Lưu Vũ Ninh, liuyuhan"
Cô Tiên Dọn Dẹp,Phim bộ,16800,9.2,T13,2018,16,Hàn Quốc,"Lãng Mạn, Phim Hài, Thanh Xuân, Tiếng Hàn",Noh Jong-Chan,"Kyun-Sang Yoon, Kim You Jung, Song Jae Lim"
Sơn Hà Chi Ảnh,Phim bộ,3600,9.3,T13,2023,24,Trung Quốc đại lục,"Võ Thuật, Phiêu Lưu, Lãng Mạn, Cổ Trang, Tiếng Phổ Thông, Cổ Đại","liyi, Hua Cao","Trương Vân Long, Trần Nhược Hiên, Sun Yi, J_Black, Ma Yu Jie, Yin Zhu Sheng, Tie Zhou, Yang Yi, Yang Bo Xiao, Shang Bai"
Trường Quân Đội Liệt Hỏa (Học Viện Quân Sự Liệt Hỏa),Phim bộ,42100,9.4,T13,2019,48,Trung Quốc đại lục,"Thanh Xuân, Tình Yêu Ngọt Ngào, Tiếng Phổ Thông",Hui Kai Dong,"Bạch Lộc, Hứa Khải, Lý Trình Bân, Ngô Giai Di, Vương Nhất Triết, Lưu Nhuận Nam, Hồng Nghiêu, Cao Vũ Nhi, Lưu Mẫn, Lâm Hựu Uy"
【Thuyết minh】Ai Cũng Khao Khát Được Gặp Em,Phim bộ,7000,9.5,T13,2022,36,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Thành Thị, Thanh Xuân, Tình Yêu Ngọt Ngào, Tiếng Việt",Xu Fu Xiang,"Chương Nhược Nam, Trần Hạo Lam, Vương Dĩ Luân"
Cô Nàng Xinh Đẹp,Phim bộ,11700,9.3,T13,2015,16,Hàn Quốc,"Lãng Mạn, Tình Yêu Ngọt Ngào, Tiếng Hàn",Zheng Da Yun,"Hwang JungEum, Park Seo Jun"
"La Pluie: Cơn Mưa Khi Ấy, Em Yêu Anh",Phim bộ,17300,9.7,T18,2023,12,Thái Lan,"LGBT, Lãng Mạn, Thành Thị, Thái Lan","Vorachai Nualsri, Ratthawit Peerasararoj","Peerawich Ploynumpol, Tanatorn Saenangkanikorn, Nuntapong Wongsakulyong, Kritsanaphong Sripattiyanon"
Penthouse Cuộc Chiến Thượng Lưu Phần 1,Phim bộ,15600,9.4,T16,2020,21,Hàn Quốc,"Bí Ẩn, Lãng Mạn, Tình Tiết, Thành Thị, Tình Bạn, Gia Đình",Dong-min Joo,"Eugene Kim, Kim So Yeon , Ji-ah Lee, Ki-joon Um , Shin Eun-kyung, Feng Tai Kui, Jin Yong Da , yoonjonghoon"
Bạn Trai Tôi Là Hồ Ly ( Cửu Vĩ Hồ Truyện ),Phim bộ,84900,9.4,T13,2020,16,Hàn Quốc,"Lãng Mạn, Viễn Tưởng, Tiếng Hàn",Kang Shin-hyo,"Lee Dong Wook, Cho Bo-ah, Kim Bum"
Lời Cầu Cứu,Phim bộ,12100,9.1,T16,2017,16,Hàn Quốc,"Tội Phạm, Bí Ẩn, Kinh Dị, Phiêu Lưu, Kinh Dị, Tiếng Hàn",Kim Sung Su,"Ok Taec-yeon, Sun Bing Hao"
Muôn Mặt Cuộc Sống,Phim bộ,46000,9.1,T13,2021,34,Trung Quốc đại lục,"Phim Hài, Thành Thị, Gia Đình, Tiếng Phổ Thông",Zhou Xiao Gang,"LiuWei, Angel Wang, Tôn Nghệ Châu, Dai Xu, Koala"
Thám Tử Phố Tàu 2,Phim bộ,1600,9.7,T18,2024,16,Trung Quốc đại lục,"Bí Ẩn, Tội Phạm, Tiếng Phổ Thông",Sky Wang,"Khưu Trạch, Thượng Ngữ Hiền, Liu Hao Ran, Trương Quân Ninh, Tony Jaa"
【Thuyết minh】Hóa Ra Em Rất Yêu Anh,Phim bộ,4700,9.6,T13,2021,24,Trung Quốc đại lục,"Lãng Mạn, Thanh Xuân, Tiếng Việt, Tiểu Thuyết Chuyển Thể",Yu Cui Hua,"Lâm Ngạn Tuấn, Vạn Bằng, Lý Gia Hào, Yukun Niu,Niu Yu Kun"
Penthouse Cuộc Chiến Thượng Lưu Phần 3,Phim bộ,5000,9.6,T18,2021,14,Hàn Quốc,"Bí Ẩn, Lãng Mạn, Thành Thị, Tình Bạn, Gia Đình, Hôn Nhân",Dong-min Joo,"Eugene Kim, Kim So Yeon , Ji-ah Lee, Ki-joon Um , Feng Tai Kui, yoonjonghoon, Shin Eun-kyung, Joo-Hee YOON, Jin Yong Da"
Băng Trộm Siêu Đẳng,Phim bộ,4900,9.5,T13,2008,16,Hàn Quốc,"Tình Tiết, Thành Thị, Tiếng Hàn",Nan Ji Xun,"Lee Dong Gun , Jeon Hye Bin"
Anh Jade: Người Trung Gian,Phim bộ,8600,9.6,T18,2023,8,Thái Lan,"LGBT, Lãng Mạn, Phim Hài, Thành Thị, Tổng Tài Bá Đạo, Thanh Xuân",Cheewin Thanamin Wongskulphat,"Yim parinyakorn khansawa, Tutor Koraphat Lamnoi"
Tâm Lý Tội Phạm,Phim bộ,9300,9.3,T16,2017,20,Hàn Quốc,"Tội Phạm, Bí Ẩn, Hành Động, Tình Tiết, Hình Sự, Thành Thị","Jung-hyo Lee, Yun-ho Yang","Lee Joon-Gi, Moon Chae Won, Son Hyun Joo, Li Shan Bin"
Người Hùng Điên Rồ (Bad and Crazy),Phim bộ,48500,9.8,T16,2021,12,Hàn Quốc,"Tội Phạm, Hành Động, Viễn Tưởng, Kinh Dị, Hình Sự, Tiếng Hàn",Seon-dong Yoo,"Lee Dong Wook, Wi Ha Jun, Han Ji Eun , Cha Hak Yeon"
Trạch Quân Ký,Phim bộ,1400,9.5,T13,2023,30,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Phim Hài, Tình Bạn, Tình Yêu Ngọt Ngào, Cổ Trang",Qiang Wu,"Trương Tuyết Nghênh, Hình Chiêu Lâm, Vương Dĩ Luân, Bolla, Aggiem, Yu Yi Jie, Meng En, Yue Yang, kerr"
Thiếu Niên Giang Hồ,Phim bộ,7900,9.4,T13,2023,24,Trung Quốc đại lục,"Võ Thuật, Phiêu Lưu, Lãng Mạn, Tình Tiết, Tình Bạn, Cổ Trang",Wing-Lun Mak,"Ngao Thuỵ Bằng, Deng Chao Yuan, Zong Yuan Yuan"
Cuộc Phản Công Của Mẹ,Phim bộ,4600,9.3,T13,2023,16,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Tổng Tài Bá Đạo, Thành Thị, Gia Đình, Tiếng Phổ Thông",Chen Yue Jin,"Zhao Yi Bo, Boyang Li, Lukas"
Nụ Hôn Không Sét Đánh,Phim bộ,8000,8.6,T13,2018,24,Trung Quốc đại lục,"Tình Tiết, Viễn Tưởng, Tổng Tài Bá Đạo, Thành Thị, Thanh Xuân, Tình Yêu Ngọt Ngào",Anthomy Zhang,"Xu Li, Shi Ming Ze, Zhang Jun Ran, XinWen Xu, Lv Shao Cong"
【Thuyết minh】Thư Sinh Xinh Đẹp,Phim bộ,2700,9.2,T13,2020,36,Trung Quốc đại lục,"Phim Hài, Thanh Xuân, Tình Yêu Ngọt Ngào, Học Đường, Cổ Trang, Tiếng Việt",Zhi Lei,"Cúc Tịnh Y, Tống Uy Long, Tất Văn Quân, Vương Thụy Xương, Trần Nhất Long, Nicole, Zhang Xin"
My Only 12%,Phim bộ,28500,9.7,T18,2022,14,Thái Lan,"LGBT, Lãng Mạn, Thanh Xuân, Thái Lan",New Siwaj Sawatmaneekul,"Earth Katsamonnat Namwirote,Earth, Santa Pongsapak Oudompoch, Peak Peemapol Panichtamrong, Pineare Pannin Charnmanoon, Jida Jidapa Siribunchawan, Fairy Kirana Pipityakorn, Teepor Krit Srisukwattananan, Oat Tharathon Phumphothingam, Film Pitchaya Sukphat, Benz Panupun Vongjorn, Fort Wayupak Tangruen"
Thực Tập Sinh Khách Sạn,Phim bộ,43600,9,T13,2020,24,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Thành Thị, Tiếng Phổ Thông",Tan Jie,"Triệu Chí Vĩ, Mã Mộng Duy, Bốc Quan Kim, charry qi,Charry Qi, Yu Ying Ying"
Chỉ Có Thể Là Yêu,Phim bộ,6000,9.4,T13,2014,16,Hàn Quốc,"Lãng Mạn, Tình Tiết, Phim Hài, Tình Bạn, Thanh Xuân, Tình Yêu Ngọt Ngào",Kyu-tae Kim,"Kong Hyo-Jin, Jo In Sung, Lee Kwang Soo, Sung Dong-il , D.O."
TharnType The Series 2: Mối Tình 7 Năm,Phim bộ,3300,9.7,T13,2023,13,Thái Lan,"LGBT, Lãng Mạn, Thanh Xuân, Tình Yêu Ngọt Ngào, Thái Lan",Pique Passawut Sukbua,"Mew Suppasit Jongcheveevat, Gulf Kanawut Traipipattanapong, Ja Phachara Suansri, First Chalongrat Novsamrong, Boat Napat Srinakluan, Tanatorn Saenangkanikorn, Mild Suttinut Uengtrakul, Tong Thanayut Thakoon-auttaya"
Hãy Sống Tích Cực Lên,Phim bộ,2300,9.5,T18,2023,18,Trung Quốc đại lục,"Lãng Mạn, Thanh Xuân, Tiếng Phổ Thông",Zhang Yu,"KWIN, Wu Xing Jian, Tu Zhi Ying, Zhang Yu Ning"
Phương Đại Trù,Phim bộ,8800,9.1,K,2017,36,Trung Quốc đại lục,"Lãng Mạn, Phim Hài, Cổ Trang, Tiếng Phổ Thông, Cổ Đại",Li Xiao Jiang,"Michelle J, Lei Mu, Chang Cheng, Zhu Jia Xi, Hu Kun"
Lời Hồi Đáp 1994,Phim bộ,1900,9.4,T13,2013,21,Hàn Quốc,"Thành Thị, Gia Đình, Tiếng Hàn",Shen Yuan Hao,"Sun Hao Jun, yoonjonghoon"
Sinh Mệnh Thân Yêu,Phim bộ,3300,9.5,T13,2022,36,Trung Quốc đại lục,"Tình Tiết, Thành Thị, Gia Đình, Tiếng Phổ Thông","Wang Ying, Wu Hui Hui","Tống Thiến, Xiaochen Wang, Doãn Phưỡng, Myolie Wu, Wilson, Tony Xu, Baoliang Sha, Dong Bo Rui, Yuan Tian"
Cái Ôm Thứ Hai,Phim bộ,75000,9.5,T13,2022,31,Trung Quốc đại lục,"Tình Tiết, Thành Thị, Tiếng Phổ Thông",Yin Li Chuan,"Chen Shu, Du Chun, Zhang Xin Yi, Lý Nãi Văn, Ma.Su, Châu Phương, Zhao Xiao Su, Mao Yi"
Sóng Gió Cuộc Đời,Phim bộ,1000,10,K,2018,48,Trung Quốc đại lục,"Phim Hài, Thành Thị, Thanh Xuân, Tiếng Phổ Thông","Wu Rih Nuo, Li Ya Fei","jackie, Liu Bei Shi, Marry, Bao Bei Er, Wang Tian Chen, Du Xiao Yu, Xu Jun Cong, Sun Yi Ning"
Cutie Pie 2 You （UNCUT）,Phim bộ,12000,9.8,T18,2023,4,Thái Lan,"LGBT, Lãng Mạn, Phim Hài, Thanh Xuân, Thái Lan",Aoftion Kittipat Champa,"Zee Pruk Panich, NuNew Chawarin Perdpiriyawong, Max Kornthas Rujeerattanavorapan, Nat Natasit Uareksit, Yim parinyakorn khansawa, Tutor Koraphat Lamnoi"
Lâu Đài Tham Vọng,Phim bộ,2800,9.3,T13,2018,20,Hàn Quốc,"Tình Tiết, Phim Hài, Thành Thị, Hôn Nhân, Tiếng Hàn",Zhao Xian Zhuo,"염정아, Lee Tae Ran, Yoon Se A, Wu Na La, Jin Rui Heng"
"Xin Chào, Bạn Gái Đông Bắc Của Tôi",Phim bộ,6600,9.3,T13,2022,24,Trung Quốc đại lục,"Phim Hài, Tình Bạn, Thanh Xuân, Tình Yêu Ngọt Ngào, Học Đường, Tiếng Phổ Thông",Jun Xia,"Ngao Tử Dật, Huang Can Can, Hong Jian Tao, Danni Liang, Cai Xin Yang, Lin Jun Yi, Zhao Yi Ji, Shi Rui, Kyle, David Chen,Chen Mu Yang, Trần Nhất Long"
Tín Hiệu,Phim bộ,2800,9.5,T16,2016,16,Hàn Quốc,"Tội Phạm, Bí Ẩn, Phiêu Lưu, Hình Sự, Tiếng Hàn",Jin Yuan Xi,Hye-Su Kim
Ông Chú Của Tôi,Phim bộ,4300,9.3,T13,2018,16,Hàn Quốc,"Lãng Mạn, Tình Tiết, Tiếng Hàn",Jin Yuan Xi,"Seon-gyun Lee, Lee Ji En,iu"
Đệ Nhất Mai Mối,Phim bộ,4600,8.9,T13,2019,24,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Phim Hài, Thanh Xuân, Cổ Trang, Tiếng Phổ Thông",Guan Jian Xiong,"Zeng Meng Xue, Dai Jing Yao, Huang Fu Jie, Tu Hua, Xiang Hao, Sử Khanh Nghiên, Bo Zhi Jie, Li Fang Wen, Zhang Yu Feng"
Đồng Hồ Sinh Học Tình Yêu,Phim bộ,11100,9.2,T13,2021,24,Trung Quốc đại lục,"Lãng Mạn, Viễn Tưởng, Thành Thị, Tiếng Phổ Thông, Tiểu Thuyết Chuyển Thể",Xi Dao,"Bành Sở Việt, Vương Thừa Tuyền, Quý Mỹ Hàm, Wu Di Fei, Guo Yun Qi, Tiffany Gao, Sun Liang Jun, Dong Zhi Yi, 徐宏杰, Gao Yi Wei"
Thất Nguyệt Và An Sinh,Phim bộ,1600,8.8,T13,2016,53,Trung Quốc đại lục,"Thanh Xuân, Tiếng Phổ Thông, Tiểu Thuyết Chuyển Thể",崔亮（导演）,"Thẩm Nguyệt, Trần Đô Linh, Hùng Tử Kỳ, Zou Tingwei, Liang Jing Kang, Xu Xiao Sa, Li Guang Fu, Liu Tao, Jie Liu"
【Thuyết Minh】KinnPorsche The Series,Phim bộ,2000,9.9,T18,2024,14,Thái Lan,"Tội Phạm, LGBT, Lãng Mạn, Hành Động, Thanh Xuân, Tiếng Việt","Kongkiat Komesiri, Pond Krisda Witthayakhajorndet, Pepsi BANCHORN VORASATAREE","Mile Phakphum Romsaithong, Apo Nattawin Wattanagitiphat, Bible Wichapas Sumettikul, Build Jakapan Puttha, Jeff Satur, Barcode Trinnasit Isarapongporn, Ta Nannakun Pakapatpornpob, Bas Asavapatr Ponpiboon, Tong Thanayut Thakoon-auttaya, Nodt Nutthasid Panyangarm, Us Nititorn Akkarachotsopon, Job Yosatorn Konglikit, JJ Chalach Tantijibul, Ping Touchchavit Kulkrachang, Perth Nakhun Screaigh, Pong Pongsakorn Ponsantigul"
Thân Ái Chí Ái,Phim bộ,35600,9.1,T13,2021,38,Trung Quốc đại lục,"Tình Bạn, Thanh Xuân, Tiếng Phổ Thông, Tiểu Thuyết Chuyển Thể",Vũ Trung Trung,"Hồ Nhất Thiên, Lý Nhất Đồng"
Mây Gió Và Mưa,Phim bộ,2700,9.1,T13,2020,21,Hàn Quốc,"Tình Tiết, Cổ Trang, Tiếng Hàn, Cổ Đại",Yin Shang Hao,"Park Si Hoo, Kwang-leol Jeon"
【Thuyết Minh】Dược Vương Đại Nhân Thân Yêu,Phim bộ,1000,9.7,T13,2020,24,Trung Quốc đại lục,"Lãng Mạn, Viễn Tưởng, Cổ Trang, Tiếng Việt, Cổ Đại",Hu Chu Xi,"Ngạn Hi, Liu Yu Xiao, Đinh Nhất Nhất"
Đại Chúa Tể,Phim bộ,9700,8.9,T13,2020,48,Trung Quốc đại lục,"Hư Cấu, Viễn Tưởng, Thanh Xuân, Cổ Trang, Tiếng Phổ Thông, Tiểu Thuyết Chuyển Thể",Zhang Meng,"Vương Nguyên, Âu Dương Na Na, Lạc Minh Cật, Mã Nguyệt, Xiho, Vương Dịch Đình, Sun Sumengxi, Lý Thục Đình, Zhang Cheng Hang, Zhang Ya Qi, Xia Nan, Johnny Huang, Huang Lulu"
Thiếu Nữ Lưu Lạc Giang Hồ,Phim bộ,3500,9.3,T13,2023,24,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Phim Hài, Cổ Trang, Tiếng Phổ Thông","Tong Zhou, Dai Meng Ying","Từ Lộ, Caesar Wu, Vương Dĩ Luân, Bunny Zhang, Lý Trác Chiêu"
Mưa Không Rơi Trên Vùng Đất Vô Thần,Phim bộ,7500,9.5,T16,2021,13,Đài Loan,"Bí Ẩn, Viễn Tưởng, Thảm Họa, Thành Thị, Thanh Xuân, Tình Yêu Ngọt Ngào",Hong Zi Peng,"Tăng Chi Kiều, Phó Mạnh Bách, Yan Yulin, Alice Ko, Joseph Cheng"
Live On,Phim bộ,61100,9.5,T13,2020,8,Hàn Quốc,"Tình Tiết, Thanh Xuân, Học Đường, Tiếng Hàn","Jin Shang Ye,Kim Sang-hyeob","Min-Hyun Hwang, Zheng Duo Bin"
Khi Phụ Nữ Toả Sáng,Phim bộ,4200,9.4,T13,2023,35,Trung Quốc đại lục,"Lãng Mạn, Thành Thị, Gia Đình, Hôn Nhân, Tiếng Phổ Thông","Bo You Niou, Lin Hong Guang","Yin Tao, Liu Yi Hao, Nhiệm Trọng, Vương Viện Khả, Thi Thi, Wang Ce, Lili. Liu, Yue YueLi, Zhang Shu"
Em Đến Từ Tương Lai,Phim bộ,12800,9.5,T13,2023,24,Trung Quốc đại lục,"Khoa Học Viễn Tưởng, Lãng Mạn, Tổng Tài Bá Đạo, Tiếng Phổ Thông",Zhou Yong,"La Chính, Quý Mỹ Hàm, Yang Ze, Chen Si Che, Wang Kang, Jie Bing"
Mối Tình Trời Ban,Phim bộ,3300,8.6,T13,2020,24,Đài Loan,"Viễn Tưởng, Thành Thị, Thanh Xuân, Tiếng Phổ Thông","Ming-Tai Wang, Li Kong Wei","Amber An, Song Bo Wei, James Wen"
Chàng Phản Diện Dễ Thương,Phim bộ,3600,9.3,T13,2023,23,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Viễn Tưởng, Tình Bạn, Thanh Xuân, Tình Yêu Ngọt Ngào",Tian Tian,"Zhang Yi Jie, Wang Er Yi Xuan"
【Thuyết Minh】Không Nói Tạm Biệt,Phim bộ,1000,9.9,T13,2021,47,Trung Quốc đại lục,"Lãng Mạn, Tình Tiết, Hình Sự, Thanh Xuân, Tiếng Việt",Yin Fei,"Nhậm Gia Luân, Trương Quân Ninh, jonny, Cheng Yu, Enyou Liu"
【Thuyết Minh】Quyến Luyến Giang Hồ,Phim bộ,5000,8.8,T13,2019,24,Trung Quốc đại lục,"Võ Thuật, Lãng Mạn, Tình Yêu Ngọt Ngào, Tiếng Việt, Cổ Đại",Li Mei,"Jiang Zhen Yu, Dương Sĩ Trạch, Hà Dịch Khiêm, Từ Khải Hâm, Lý Gia Hào, Sally,Zhang Xue Han, Ngô Thiên Doanh"
Chỉ Có Sắc Đẹp Không Thể Phụ Mùa 1,Phim bộ,2700,8.8,T13,2019,12,Trung Quốc đại lục,"Viễn Tưởng, Tổng Tài Bá Đạo, Thành Thị, Thanh Xuân, Tiếng Phổ Thông, Tiểu Thuyết Chuyển Thể",Tan Lang Chang,"Taiyu Gao, Xin Rui Qi, Chun Wong, Zheng Ning, Liang Li, Vincent, Lei Suet"
Đòn Bẩy,Phim bộ,23000,9,T16,2022,40,Trung Quốc đại lục,"Bí Ẩn, Tình Tiết, Thành Thị, Tiếng Phổ Thông",Liu Guang,"Quách Kinh Phi, Yu Yi, Qian Xiao Yun, Zhang,Feng yi, Hùng Đại Lâm, LiyaTong, Zhang Xi Lin, Huang Jun Peng, LIU Ankang, Kaiyun Deng, Du Gong Hai, Ting'ao Shi, Wu Yongliang, Wang Yan Yang, Long Mu Chun, Feng Guo Qiang, GAO Guangyou"
Dữ Khanh Hành,Phim bộ,74000,9.1,T13,2023,20,Trung Quốc đại lục,"Bí Ẩn, Tiếng Phổ Thông, Cổ Đại","Shen Bin, Yue Jin Chao","Diêu Tiểu Tiểu, Cheng Xiang, He Ming Han, Peng Shi Di, zhengrui, Ma Ming Yu,miko"
Bệnh viện Hằng Sơn,Phim bộ,17000,9.4,T16,2021,34,Trung Quốc đại lục,"Gián Điệp, Chiến Tranh, Tiếng Phổ Thông",Dong Zhi Qiang,"Qin Jun Jie, Tu Song Yan, Sun Yi, Sun Shuang, Liu Zi He, Xi Mei Juan, Wu Wen Jing, Wang Shi Huai"
Kỳ Nghỉ Ấm Áp 2,Phim bộ,2300,9.5,T13,2022,40,Trung Quốc đại lục,"Lãng Mạn, Phim Hài, Thành Thị, Thanh Xuân, Gia Đình, Tiếng Phổ Thông",Yao Xiao Feng,"Lưu Đào, MichaelChen, Dương Lặc, Trương Gia Nghê, Trình Tiêu, NiDaHong, Ping Ni, Jiang Chao, Tian-Yang Zhang, Lula Zhou, Pei Jiaxin, Jiang Man, Bill"
Con Gái Là Thế Đó,Phim bộ,20600,9,T13,2021,40,Trung Quốc đại lục,"Lãng Mạn, Phim Hài, Tình Bạn, Tình Yêu Ngọt Ngào, Cổ Trang, Hôn Nhân","Chen Wei Xiang, Yang Xiao Bo","Quan Hiểu Đồng, Hầu Minh Hạo, Zhao Shun Ran, Chung Lin, An Yong Chang, Xia Nan, Haomin Jiang"
Hoàng Kim Đồng,Phim bộ,15500,9.3,T16,2019,56,Trung Quốc đại lục,"Bí Ẩn, Phiêu Lưu, Viễn Tưởng, Tiếng Phổ Thông, Tiểu Thuyết Chuyển Thể",Lin Nan,"Trương Nghệ Hưng, CiCi, Lee Li-Chun, Yue,Ahu,KA, Esthery, Meng A Sai, Hong Xuan, Shi Zhao Qi, Hong Jian Tao, Wang Qian, Zhang Fan, Fan Yize, Liu SIyuan,Liu Ruo Yan"
Kê Long Tiên Nữ Truyện,Phim bộ,3000,9.2,T13,2018,16,Hàn Quốc,"Lãng Mạn, Tình Tiết, Viễn Tưởng, Hôn Nhân, Tiếng Hàn",Yun-Cheol Kim,"Moon Chae Won, Yoon Hyun Min, Xu Zhi Xun, Gao Dou Xin, An Ying Mei"
